dimension,key,baseline_rows,closed_evidence_rows,open_baseline_rows,current_mapped_diagnostics,disappeared_without_evidence,wording_migrations_retained_open,new_current_diagnostics,baseline_root_packages,open_root_packages,baseline_artifact_units,open_artifact_units
artifact_unit_id,T01:safe_event_injections:TARGET_OBJECT_DISPLACED,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T01:safe_event_injections:TEMPORARY_NO_GO_APPEARS,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T01:safe_event_injections:TEMPORARY_NO_GO_CLEARS,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T01:safe_event_injections:TOOL_OR_TARGET_AVAILABLE_AGAIN,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T01:safe_event_injections:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T01:semantic_triggers:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T01:semantic_triggers:TARGET_OBJECT_DISPLACED,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T01:semantic_triggers:TEMPORARY_NO_GO_APPEARS,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T01:semantic_triggers:TEMPORARY_NO_GO_CLEARS,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T01:semantic_triggers:TOOL_OR_TARGET_AVAILABLE_AGAIN,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T01:semantic_triggers:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T01:semantic_triggers:USER_ADDS_PERSISTENT_PREFERENCE,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T01:semantic_triggers:USER_CANCELS_ACTIVE_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T01:semantic_triggers:USER_REISSUES_RETIRED_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T01:semantic_triggers:USER_REPLACES_ACTIVE_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T01:soft_preference_templates,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T01:structural_and_milestones,7,0,7,7,0,0,,1,1,1,1
artifact_unit_id,T01:supported_event_families,2,0,2,2,0,1,,1,1,1,1
artifact_unit_id,T02:alternative_valid_goals,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T02:calibration_records,6,0,6,6,0,0,,1,1,1,1
artifact_unit_id,T02:event_feasibility:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T02:event_feasibility:TARGET_OBJECT_DISPLACED,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T02:event_feasibility:TEMPORARY_NO_GO_APPEARS,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T02:event_feasibility:TEMPORARY_NO_GO_CLEARS,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T02:event_feasibility:TOOL_OR_TARGET_AVAILABLE_AGAIN,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T02:event_feasibility:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T02:event_feasibility:USER_ADDS_PERSISTENT_PREFERENCE,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T02:event_feasibility:USER_CANCELS_ACTIVE_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T02:event_feasibility:USER_REISSUES_RETIRED_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T02:event_feasibility:USER_REPLACES_ACTIVE_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T02:hard_safety_constraints,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T02:initial_state_digests,6,0,6,6,0,0,,1,1,1,1
artifact_unit_id,T02:maintenance_invariants,1,0,1,1,0,0,,1,1,1,1
artifact_unit_id,T02:planner_compiler_metadata,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T02:replaceable_goal_families,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T02:safe_event_injections:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T02:safe_event_injections:TARGET_OBJECT_DISPLACED,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T02:safe_event_injections:TEMPORARY_NO_GO_APPEARS,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T02:safe_event_injections:TEMPORARY_NO_GO_CLEARS,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T02:safe_event_injections:TOOL_OR_TARGET_AVAILABLE_AGAIN,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T02:safe_event_injections:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T02:semantic_triggers:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T02:semantic_triggers:TARGET_OBJECT_DISPLACED,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T02:semantic_triggers:TEMPORARY_NO_GO_APPEARS,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T02:semantic_triggers:TEMPORARY_NO_GO_CLEARS,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T02:semantic_triggers:TOOL_OR_TARGET_AVAILABLE_AGAIN,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T02:semantic_triggers:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T02:semantic_triggers:USER_ADDS_PERSISTENT_PREFERENCE,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T02:semantic_triggers:USER_CANCELS_ACTIVE_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T02:semantic_triggers:USER_REISSUES_RETIRED_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T02:semantic_triggers:USER_REPLACES_ACTIVE_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T02:soft_preference_templates,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T02:structural_and_milestones,7,0,7,7,0,0,,1,1,1,1
artifact_unit_id,T02:supported_event_families,2,0,2,2,0,1,,1,1,1,1
artifact_unit_id,T03:alternative_valid_goals,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T03:calibration_records,6,0,6,6,0,0,,1,1,1,1
artifact_unit_id,T03:event_feasibility:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T03:event_feasibility:TARGET_OBJECT_DISPLACED,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T03:event_feasibility:TEMPORARY_NO_GO_APPEARS,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T03:event_feasibility:TEMPORARY_NO_GO_CLEARS,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T03:event_feasibility:TOOL_OR_TARGET_AVAILABLE_AGAIN,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T03:event_feasibility:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T03:event_feasibility:USER_ADDS_PERSISTENT_PREFERENCE,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T03:event_feasibility:USER_CANCELS_ACTIVE_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T03:event_feasibility:USER_REISSUES_RETIRED_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T03:event_feasibility:USER_REPLACES_ACTIVE_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T03:hard_safety_constraints,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T03:initial_state_digests,6,0,6,6,0,0,,1,1,1,1
artifact_unit_id,T03:maintenance_invariants,1,0,1,1,0,0,,1,1,1,1
artifact_unit_id,T03:planner_compiler_metadata,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T03:replaceable_goal_families,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T03:safe_event_injections:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T03:safe_event_injections:TARGET_OBJECT_DISPLACED,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T03:safe_event_injections:TEMPORARY_NO_GO_APPEARS,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T03:safe_event_injections:TEMPORARY_NO_GO_CLEARS,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T03:safe_event_injections:TOOL_OR_TARGET_AVAILABLE_AGAIN,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T03:safe_event_injections:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T03:semantic_triggers:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T03:semantic_triggers:TARGET_OBJECT_DISPLACED,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T03:semantic_triggers:TEMPORARY_NO_GO_APPEARS,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T03:semantic_triggers:TEMPORARY_NO_GO_CLEARS,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T03:semantic_triggers:TOOL_OR_TARGET_AVAILABLE_AGAIN,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T03:semantic_triggers:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T03:semantic_triggers:USER_ADDS_PERSISTENT_PREFERENCE,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T03:semantic_triggers:USER_CANCELS_ACTIVE_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T03:semantic_triggers:USER_REISSUES_RETIRED_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T03:semantic_triggers:USER_REPLACES_ACTIVE_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T03:soft_preference_templates,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T03:structural_and_milestones,7,0,7,7,0,0,,1,1,1,1
artifact_unit_id,T03:supported_event_families,2,0,2,2,0,1,,1,1,1,1
artifact_unit_id,T04:alternative_valid_goals,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T04:calibration_records,6,0,6,6,0,0,,1,1,1,1
artifact_unit_id,T04:event_feasibility:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T04:event_feasibility:TARGET_OBJECT_DISPLACED,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T04:event_feasibility:TEMPORARY_NO_GO_APPEARS,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T04:event_feasibility:TEMPORARY_NO_GO_CLEARS,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T04:event_feasibility:TOOL_OR_TARGET_AVAILABLE_AGAIN,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T04:event_feasibility:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T04:event_feasibility:USER_ADDS_PERSISTENT_PREFERENCE,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T04:event_feasibility:USER_CANCELS_ACTIVE_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T04:event_feasibility:USER_REISSUES_RETIRED_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T04:event_feasibility:USER_REPLACES_ACTIVE_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T04:hard_safety_constraints,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T04:initial_state_digests,6,6,0,0,0,0,,1,0,1,0
artifact_unit_id,T04:maintenance_invariants,1,0,1,1,0,0,,1,1,1,1
artifact_unit_id,T04:planner_compiler_metadata,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T04:replaceable_goal_families,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T04:safe_event_injections:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T04:safe_event_injections:TARGET_OBJECT_DISPLACED,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T04:safe_event_injections:TEMPORARY_NO_GO_APPEARS,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T04:safe_event_injections:TEMPORARY_NO_GO_CLEARS,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T04:safe_event_injections:TOOL_OR_TARGET_AVAILABLE_AGAIN,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T04:safe_event_injections:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T04:semantic_triggers:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T04:semantic_triggers:TARGET_OBJECT_DISPLACED,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T04:semantic_triggers:TEMPORARY_NO_GO_APPEARS,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T04:semantic_triggers:TEMPORARY_NO_GO_CLEARS,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T04:semantic_triggers:TOOL_OR_TARGET_AVAILABLE_AGAIN,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T04:semantic_triggers:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T04:semantic_triggers:USER_ADDS_PERSISTENT_PREFERENCE,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T04:semantic_triggers:USER_CANCELS_ACTIVE_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T04:semantic_triggers:USER_REISSUES_RETIRED_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T04:semantic_triggers:USER_REPLACES_ACTIVE_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T04:soft_preference_templates,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T04:structural_and_milestones,7,0,7,7,0,0,,1,1,1,1
artifact_unit_id,T04:supported_event_families,2,0,2,2,0,1,,1,1,1,1
artifact_unit_id,T05:alternative_valid_goals,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T05:calibration_records,6,0,6,6,0,0,,1,1,1,1
artifact_unit_id,T05:event_feasibility:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T05:event_feasibility:TARGET_OBJECT_DISPLACED,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T05:event_feasibility:TEMPORARY_NO_GO_APPEARS,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T05:event_feasibility:TEMPORARY_NO_GO_CLEARS,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T05:event_feasibility:TOOL_OR_TARGET_AVAILABLE_AGAIN,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T05:event_feasibility:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T05:event_feasibility:USER_ADDS_PERSISTENT_PREFERENCE,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T05:event_feasibility:USER_CANCELS_ACTIVE_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T05:event_feasibility:USER_REISSUES_RETIRED_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T05:event_feasibility:USER_REPLACES_ACTIVE_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T05:hard_safety_constraints,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T05:maintenance_invariants,1,0,1,1,0,0,,1,1,1,1
artifact_unit_id,T05:planner_compiler_metadata,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T05:replaceable_goal_families,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T05:safe_event_injections:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T05:safe_event_injections:TARGET_OBJECT_DISPLACED,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T05:safe_event_injections:TEMPORARY_NO_GO_APPEARS,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T05:safe_event_injections:TEMPORARY_NO_GO_CLEARS,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T05:safe_event_injections:TOOL_OR_TARGET_AVAILABLE_AGAIN,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T05:safe_event_injections:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T05:semantic_triggers:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T05:semantic_triggers:TARGET_OBJECT_DISPLACED,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T05:semantic_triggers:TEMPORARY_NO_GO_APPEARS,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T05:semantic_triggers:TEMPORARY_NO_GO_CLEARS,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T05:semantic_triggers:TOOL_OR_TARGET_AVAILABLE_AGAIN,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T05:semantic_triggers:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T05:semantic_triggers:USER_ADDS_PERSISTENT_PREFERENCE,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T05:semantic_triggers:USER_CANCELS_ACTIVE_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T05:semantic_triggers:USER_REISSUES_RETIRED_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T05:semantic_triggers:USER_REPLACES_ACTIVE_GOAL,4,0,4,4,0,0,,1,1,10,10
artifact_unit_id,T05:soft_preference_templates,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T05:structural_and_milestones,9,0,9,9,0,0,,1,1,1,1
artifact_unit_id,T05:supported_event_families,2,0,2,2,0,1,,1,1,1,1
artifact_unit_id,T06:alternative_valid_goals,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T06:calibration_records,6,0,6,6,0,0,,1,1,1,1
artifact_unit_id,T06:event_feasibility:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T06:event_feasibility:TARGET_OBJECT_DISPLACED,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T06:event_feasibility:TEMPORARY_NO_GO_APPEARS,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T06:event_feasibility:TEMPORARY_NO_GO_CLEARS,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T06:event_feasibility:TOOL_OR_TARGET_AVAILABLE_AGAIN,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T06:event_feasibility:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T06:event_feasibility:USER_ADDS_PERSISTENT_PREFERENCE,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T06:event_feasibility:USER_CANCELS_ACTIVE_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T06:event_feasibility:USER_REISSUES_RETIRED_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T06:event_feasibility:USER_REPLACES_ACTIVE_GOAL,2,0,2,2,0,0,,1,1,10,10
artifact_unit_id,T06:hard_safety_constraints,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T06:initial_state_digests,6,0,6,6,0,0,,1,1,1,1
artifact_unit_id,T06:maintenance_invariants,1,0,1,1,0,0,,1,1,1,1
artifact_unit_id,T06:planner_compiler_metadata,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T06:replaceable_goal_families,2,0,2,2,0,0,,1,1,1,1
artifact_unit_id,T06:safe_event_injections:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T06:safe_event_injections:TARGET_OBJECT_DISPLACED,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T06:safe_event_injections:TEMPORARY_NO_GO_APPEARS,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T06:safe_event_injections:TEMPORARY_NO_GO_CLEARS,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T06:safe_event_injections:TOOL_OR_TARGET_AVAILABLE_AGAIN,2,0,2,2,0,0,,1,1,6,6
artifact_unit_id,T06:safe_event_injections:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,2,0,2,2,0,0,,1,1,6,6
